Country Name,Time,GDP,Population,GDP_per_capita,GDP_growth_rate
Zambia,2004,59722466600.0,11188040,5338.063378393355,
Zambia,2005,64043744800.0,11564870,5537.78337326749,7.235599006555438
Zambia,2006,69105566700.0,11971567,5772.474622578648,7.903694444800791
Zambia,2007,74877565100.0,12402073,6037.503980181377,8.35243624447406
Zambia,2008,80698469000.0,12852966,6278.587292614016,7.773895815423626
Zambia,2009,88139149000.0,13318087,6618.003696777172,9.220348405866297
Zambia,2010,97215915400.0,13792086,7048.673811923736,10.29822332412127
Zambia,2011,102630114864.675,14265814,7194.129606952327,5.569252156293536
Zambia,2012,110427315787.506,14744658,7489.310080132479,7.597381073880838
Zambia,2013,116012218077.292,15234976,7614.860573281639,5.057536941795249
Zambia,2014,121457000000.0,15737793,7717.537014243357,4.693283184259478
Zambia,2015,125004000000.0,16248230,7693.391834064388,2.9203751121796184
Zambia,2016,129698025601.463,16767761,7734.963875109086,3.755100317960225
Zambia,2017,134271000000.0,17298054,7762.20261539246,3.5258627703315115
Zambia,2018,139688155300.0,17835893,7831.856543431832,4.034493896671654
Zambia,2019,141701489100.0,18380477,7709.347755229638,1.4413060260378474
Zambia,2020,137755024600.0,18927715,7277.953234185954,-2.7850550654516693
Zambia,2021,146343943000.0,19473125,7515.175042526559,6.2349220472644795
Zambia,2022,154026447300.0,20017675,7694.522330890076,5.249622322940972
Zambia,2023,163010000000.0,20569737,7924.748867717657,5.8324741351091225
Botswana,2004,109985699600.0,1859085,59161.200052714106,
Botswana,2005,114997358200.0,1892807,60754.93074571258,4.556645653231817
Botswana,2006,124615589000.0,1928704,64611.04918121184,8.36387109282306
Botswana,2007,131834016500.0,1966977,67023.66957010682,5.79255577727118
Botswana,2008,136121354900.0,2007320,67812.48375944045,3.2520729579683216
Botswana,2009,116868031100.0,2048997,57036.701908299525,-14.144234616342333
Botswana,2010,128697657600.0,2091664,61528.839048719106,10.122209117973235
Botswana,2011,137498685200.0,2134037,64431.256440258534,6.838529748034827
Botswana,2012,137263698900.0,2175425,63097.41724030936,-0.1709007614568825
Botswana,2013,152503845500.0,2217278,68779.75855981975,11.102823777977044
Botswana,2014,161188600000.0,2260376,71310.52532852942,5.694777381859528
Botswana,2015,153368800000.0,2305171,66532.50453003269,-4.851335640361665
Botswana,2016,164418139800.0,2352416,69893.3096017031,7.204424759142669
Botswana,2017,171182900000.0,2401840,71271.5667987876,4.1143636634185965
Botswana,2018,178352200000.0,2451409,72754.97479204816,4.188093553736971
Botswana,2019,183760200000.0,2499702,73512.84273085352,3.0322025744565995
Botswana,2020,167720226900.0,2546402,65865.57303206642,-8.728752526390371
Botswana,2021,187713545500.0,2588423,72520.42865482188,11.920636508511674
Botswana,2022,198011563500.0,2630296,75281.09516951704,5.486028177971836
Botswana,2023,203419099000.0,2675352,76034.51770084833,2.730919045543523
